Galileo Galilei Way,42.3661146,-71.0887658,42.3661738,-71.0886646,1.0,10.0
Clement Circle,42.381284,-71.131401,42.38136,-71.131381,1.0,6.0
Brattle Street,42.373386,-71.119778,42.3733693,-71.1199009,1.0,10.0
Windsor Street,42.3631323,-71.0967167,42.3632016,-71.0967089,1.0,8.0
Bay State Road,42.387207,-71.140324,42.387287,-71.139878,4.0,38.0
Sparks Street,42.38151,-71.13217,42.381288,-71.132028,4.0,34.0
Dr. Paul Dudley White Path,42.3704375,-71.1309046,42.3704851,-71.1309278,289.0,4195.0
Rindge Avenue,42.393861,-71.138131,42.3938493,-71.1379972,1.0,13.0
Gilmore Street,42.364372,-71.111527,42.364686,-71.11157,36.0,37.0
Chestnut Street,42.3566298,-71.108803,42.3558964,-71.1075154,18.0,134.0
Beech Path,42.3869635,-71.1477106,42.3868981,-71.147614,0.0,0.0
Gold Star Road,42.399322,-71.130266,42.3996092,-71.130004,4.0,39.0
Fresh Pond Paths,42.3848405,-71.1417191,42.3850244,-71.1416518,2.0,22.0
Frontage Road,42.396202,-71.100448,42.396431,-71.101084,6.0,59.0
Dr. Paul Dudley White Path,42.3650627,-71.1451145,42.365009,-71.1451968,189.0,1799.0
Gateway Park,42.4006757,-71.0719747,42.4005885,-71.0720283,0.0,0.0
Cambridge Street,42.371743,-71.085532,42.371642,-71.08479,6.0,62.0
Harvard Street,42.3723392,-71.1153142,42.3723364,-71.1152374,1.0,7.0
Merrill Avenue,42.3918596,-71.1584686,42.391759,-71.157812,5.0,54.0
Massachusetts Avenue,42.382629,-71.119703,42.382222,-71.119739,4.0,44.0
Willow Street,42.370062,-71.093267,42.37,-71.093395,11.0,15.0
Concord Avenue,42.384114,-71.134692,42.38384,-71.134087,6.0,58.0
Edward Street,42.400929,-71.103071,42.400818,-71.10299,126.0,469.0
US 1,42.3712995,-71.0696185,42.3714183,-71.0696478,1.0,13.0
Sidney Street,42.355155,-71.108251,42.354957,-71.108334,2.0,23.0
Brattle Street,42.3732615,-71.1205017,42.373186,-71.120779,2.0,23.0
Seventh Street,42.371046,-71.085704,42.370374,-71.085856,7.0,76.0
Western Avenue,42.3620981,-71.1425111,42.3621483,-71.1422399,2.0,22.0
Fayette Street,42.3738099,-71.1021266,42.3738987,-71.102099,1.0,9.0
Mount Auburn Street,42.3747906,-71.1321011,42.3747554,-71.1315691,3.0,42.0
Magazine Street,42.3581616,-71.1121258,42.3583899,-71.1118769,3.0,32.0
I 93,42.392705,-71.0849003,42.3925649,-71.0847581,1.0,19.0
Larchwood Drive,42.378591,-71.146032,42.378591,-71.145971,1.0,6.0
Wadsworth Street,42.3607829,-71.0841677,42.3610352,-71.0843217,0.0,0.0
Glenn Road,42.388929,-71.159518,42.388932,-71.159509,0.0,1.0
Dr. Paul Dudley White Path,42.3523496,-71.0877325,42.3523794,-71.0874446,306.0,3751.0
Dr. Paul Dudley White Path,42.3708208,-71.1329961,42.3707778,-71.1330015,0.0,0.0
South Street,42.3751703,-71.0926111,42.3751479,-71.0925262,1.0,7.0
Brattle Street,42.37574,-71.12392,42.375965,-71.124492,7.0,53.0
Concord Avenue,42.388528,-71.1431353,42.3885763,-71.1431646,1.0,6.0
SR 2,42.3536425,-71.1106092,42.3535791,-71.1105577,1.0,9.0
Irving Street,42.37987,-71.111374,42.379616,-71.111242,3.0,31.0
Elm Street,42.37214,-71.095865,42.372593,-71.095596,8.0,55.0
Main Street,42.3631485,-71.0959717,42.3631212,-71.0955929,3.0,31.0
Garden Street,42.383233,-71.128024,42.383244,-71.128041,0.0,0.0
Land Boulevard,42.3615749,-71.0789548,42.3614807,-71.0789766,1.0,11.0
Fresh Pond Paths,42.3848865,-71.141276,42.3848443,-71.1412519,0.0,0.0
Cardinal Medeiros Avenue,42.3676813,-71.090968,42.3677408,-71.0909338,0.0,5.0
Miller's River Littoral Way,42.3716073,-71.0657513,42.371458,-71.0658201,1.0,17.0
Michael Way,42.369702,-71.08967,42.369659,-71.089506,1.0,14.0
Leverett Connector,42.379771,-71.077521,42.3796581,-71.0774521,1.0,14.0
Gore Street,42.372927,-71.086185,42.372581,-71.085213,10.0,89.0
Dr. Paul Dudley White Path,42.3733234,-71.1332809,42.3730532,-71.1335858,228.0,2780.0
Field Street,42.386464,-71.136973,42.386287,-71.136735,3.0,28.0
Traill Street,42.376057,-71.137003,42.37598,-71.136769,2.0,20.0
Pilgrim Street,42.3613141,-71.1027167,42.3613321,-71.1027357,0.0,2.0
Holland Street,42.402877,-71.126996,42.4030024,-71.1270658,2.0,15.0
Concord Avenue,42.3938504,-71.1687194,42.3944569,-71.1706506,15.0,174.0
Clement Circle,42.3813,-71.131249,42.38129,-71.131299,0.0,3.0
I 93,42.3925649,-71.0847581,42.3924109,-71.0846172,1.0,21.0
John F. Fitzgerald Expressway,42.3674824,-71.0616592,42.3701057,-71.0646433,18.0,383.0
Cushing Street,42.377201,-71.151892,42.376331,-71.151675,10.0,100.0
Arrow Street,42.37129,-71.115033,42.3715816,-71.1156742,6.0,62.0
Beacon Street,42.382337,-71.111385,42.3827852,-71.1119262,7.0,67.0
Dr. Paul Dudley White Path,42.3693554,-71.1258948,42.3692891,-71.1257868,185.0,1658.0
Dunster Street,42.3732932,-71.1186736,42.3732611,-71.118719,1.0,4.0
Soldiers Field Road,42.367495,-71.118861,42.367612,-71.119113,1.0,25.0
Waverly Street,42.360821,-71.1450264,42.3607944,-71.1445062,4.0,42.0
Terminal Road,42.3917884,-71.1404611,42.3919171,-71.1410821,10.0,53.0
Western Avenue,42.363255,-71.134762,42.363284,-71.134558,1.0,17.0
Webster Avenue,42.3750909,-71.0950075,42.375283,-71.095062,3.0,22.0
Telford Street,42.362916,-71.137369,42.3636614,-71.1375238,10.0,86.0
Massachusetts Avenue,42.3731088,-71.1179073,42.3732447,-71.1183581,4.0,38.0
Cardinal Medeiros Avenue,42.3683758,-71.0905783,42.368798,-71.090339,4.0,52.0
Choate Road,42.380482,-71.158379,42.380487,-71.158178,1.0,16.0
